id_imovel,nome,host_id,host_nome,bairro,latitude,longitude,tipo,preco,noites_minimas,numero_reviews,ultima_review,reviews_por_mes,hosts_qtd,disponibilidade,reviewss_ultimo_mes
7874250,Rental unit in Rio de Janeiro · 4.75 · 1 bedroom · 1 bed · 1 bath,40230243,William,Santa Teresa,-22.92104,-43.18222,Entire home/apt,748.8612132352941,3.0,8,2016-08-25,0.08,1,0,0
8672682,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 2 beds · 1 bath,45554566,Marco,Copacabana,-22.97381,-43.18857,Entire home/apt,1311.7262280953748,7.0,4,2023-01-08,0.04,1,0,1
8505414,Rental unit in Rio de Janeiro · 4.83 · 1 bedroom · 1 bed · 1 bath,40282457,Fernanda,Catete,-22.92674,-43.17775,Entire home/apt,859.4738562091503,4.0,6,2019-06-25,0.07,1,0,0
9011871,Rental unit in Rio de Janeiro · 4.94 · 2 bedrooms · 3 beds · 2 baths,47057181,Guilherme,Leblon,-22.98332,-43.22314,Entire home/apt,1547.7930614729155,5.0,115,2022-04-26,1.16,1,0,0
8518661,Rental unit in Rio de Janeiro · 4.77 · 3 bedrooms · 5 beds · 2.5 baths,44789621,Virginia,Copacabana,-22.96601,-43.18779,Entire home/apt,1311.7262280953748,3.0,35,2020-03-17,0.36,1,0,0
8875190,Rental unit in Rio de Janeiro · 4.84 · 3 bedrooms · 3 beds · 3 baths,46448320,José Fernando,Recreio dos Bandeirantes,-23.00714,-43.44404,Entire home/apt,962.8882455124493,3.0,19,2022-03-04,0.2,1,0,0
9014122,Rental unit in Rio de Janeiro · 4.65 · 1 bedroom · 1 bed · 1 bath,35334049,Ricardo,Copacabana,-22.96842,-43.18716,Entire home/apt,1311.7262280953748,3.0,129,2023-10-22,1.32,1,0,6
8521865,Rental unit in Rio de Janeiro · 4.82 · 2 bedrooms · 2 beds · 2 baths,23638173,Yasmin,Ipanema,-22.98588,-43.21111,Entire home/apt,1726.5436160579536,2.0,17,2019-09-30,0.17,1,0,0
8973551,Rental unit in Rio de Janeiro · 4.78 · 1 bedroom · 3 beds · 2 baths,16469826,Stefano,Copacabana,-22.97812,-43.19251,Private room,1311.7262280953748,3.0,9,2020-02-26,0.1,3,0,0
9607807,Loft in Rio de Janeiro · 4.69 · 1 bedroom · 1 bed · 1 shared bath,15544036,Laurinete,Copacabana,-22.97198,-43.19039,Private room,1311.7262280953748,1.0,71,2020-11-30,0.74,2,0,0
9383029,Rental unit in Rio de Janeiro · 5.0 · 3 bedrooms · 4 beds · 3.5 baths,26561202,Luiz Henrique,Barra da Tijuca,-23.00617,-43.3239,Entire home/apt,1350.8451882845188,2.0,4,2019-10-05,0.04,1,0,0
9385387,Rental unit in Rio de Janeiro · 4.93 · 2 bedrooms · 2 beds · 1 bath,45990906,André Luiz,Botafogo,-22.95247,-43.18478,Entire home/apt,768.3704453441295,2.0,15,2018-02-15,0.15,1,0,0
9405576,Rental unit in Rio de Janeiro · 3.83 · 2 bedrooms · 3 beds · 2 baths,48774468,Ana,Laranjeiras,-22.93461,-43.18046,Entire home/apt,632.6488549618321,30.0,6,2023-08-23,0.39,1,0,5
9430855,Rental unit in Rio de Janeiro · 4.84 · 2 bedrooms · 5 beds · 2 baths,48884235,Larissa,Copacabana,-22.96489,-43.17687,Entire home/apt,1311.7262280953748,4.0,31,2023-03-06,0.32,2,0,2
9859990,Rental unit in Rio de Janeiro · 4.63 · 2 bedrooms · 5 beds · 1 bath,50719570,Alice,Copacabana,-22.97788,-43.19336,Entire home/apt,1311.7262280953748,3.0,46,2022-03-05,0.47,1,0,0
10018338,Rental unit in Rio de Janeiro · 4.62 · 1 bedroom · 1 bed · 2 shared baths,51443132,Karina,Jardim Botânico,-22.9635,-43.22181,Private room,1052.197969543147,30.0,21,2022-04-06,0.22,2,0,0
10020341,Rental unit in Rio de Janeiro · 4.82 · 2 bedrooms · 2 beds · 1 bath,3105988,Deborah,Barra da Tijuca,-23.00978,-43.43029,Entire home/apt,1350.8451882845188,2.0,11,2018-04-07,0.11,1,0,0
9956117,Rental unit in Rio de Janeiro · 4.75 · 2 bedrooms · 1 bed · 1 bath,51162050,Lucia,Copacabana,-22.97404,-43.19277,Entire home/apt,1311.7262280953748,3.0,8,2022-09-13,0.08,2,0,0
10123599,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 bath,28272062,Alexandre,Copacabana,-22.96355,-43.1774,Entire home/apt,1311.7262280953748,4.0,5,2020-02-27,0.05,1,0,0
10323770,Home in Rio de Janeiro · 4.82 · 5 bedrooms · 9 beds · 4 baths,39293737,Andre,Vargem Pequena,-22.99195,-43.45536,Entire home/apt,642.7972972972973,3.0,38,2023-06-14,0.74,1,0,1
10326756,Rental unit in Rio de Janeiro · 5.0 · 3 bedrooms · 6 beds · 2 baths,53140592,Thiago,Flamengo,-22.94009,-43.17777,Entire home/apt,678.5729442970822,5.0,5,2020-02-26,0.06,1,0,0
10335776,Rental unit in Rio de Janeiro · 5.0 · 2 bedrooms · 3 beds · 2 baths,53190228,Manoel,Jacarepaguá,-22.96557,-43.3831,Entire home/apt,785.2956685499058,7.0,5,2019-10-06,0.07,1,0,0
10339018,Rental unit in Rio de Janeiro · 4.95 · 2 bedrooms · 2 beds · 1 bath,53206836,Andréa & Marcelo,Flamengo,-22.9355,-43.178,Entire home/apt,678.5729442970822,3.0,37,2019-12-10,0.4,1,0,0
10448856,Rental unit in Rio de Janeiro · 4.90 · 2 bedrooms · 2 beds · 2 baths,44846150,Luciana,Leblon,-22.983,-43.22572,Entire home/apt,1547.7930614729155,2.0,10,2020-02-25,0.1,2,0,0
10356250,Condo in Rio de Janeiro · 5.0 · 2 bedrooms · 3 beds · 2 baths,10654214,Marialvo,Ipanema,-22.985104,-43.210224,Entire home/apt,1726.5436160579536,3.0,7,2023-07-24,0.07,1,0,6
10455056,Home in Rio de Janeiro · 4.67 · 3 bedrooms · 2 beds · 2 baths,35976326,Diego,Santa Teresa,-22.91632,-43.18057,Private room,748.8612132352941,5.0,3,2016-08-18,0.03,1,0,0
10412395,Rental unit in Rio de Janeiro · 4.83 · 2 bedrooms · 2 beds · 2 baths,9036113,Michela,Ipanema,-22.98369,-43.20247,Entire home/apt,1726.5436160579536,6.0,18,2020-10-31,0.19,1,0,0
10653093,Rental unit in Rio de Janeiro · 3.33 · 1 bedroom · 4 beds · 1 bath,52016904,Karla,Copacabana,-22.96272,-43.17592,Entire home/apt,1311.7262280953748,2.0,3,2022-03-02,0.03,1,0,0
10542363,Rental unit in Rio de Janeiro · 4.98 · 2 bedrooms · 3 beds · 2 baths,54363106,Carlos Alberto,Ipanema,-22.98359,-43.20213,Entire home/apt,1726.5436160579536,3.0,189,2022-04-10,1.97,1,0,0
10800014,Rental unit in Rio de Janeiro · 4.56 · 1 bedroom · 1 bed · 2 baths,2796228,Barbara,Copacabana,-22.97671,-43.19477,Entire home/apt,1311.7262280953748,5.0,9,2023-01-01,0.12,1,0,1
10674014,Rental unit in Rio de Janeiro · 4.33 · 1 bedroom · 1 bed · 1 bath,7981768,Alice,Copacabana,-22.97118,-43.18927,Entire home/apt,1311.7262280953748,15.0,3,2021-01-15,0.03,1,0,0
10969916,Home in Rio de Janeiro · 4.89 · 4 bedrooms · 10 beds · 6.5 baths,22586273,Alexandre,Jacarepaguá,-22.96525,-43.32982,Entire home/apt,785.2956685499058,2.0,18,2023-06-12,0.19,1,0,1
10970145,Condo in Rio de Janeiro · 4.11 · 1 bedroom · 1 bed · 1 shared bath,42846330,Miguel,Botafogo,-22.95712,-43.17848,Private room,768.3704453441295,2.0,28,2023-09-10,0.39,3,0,6
11078930,Rental unit in Copacabana · 4.47 · 1 bedroom · 1 bed · 1 bath,18896247,Jorge,Ipanema,-22.98875,-43.19237,Entire home/apt,1726.5436160579536,4.0,103,2022-11-29,1.51,3,0,0
11315949,Rental unit in Rio de Janeiro · 4.88 · 3 bedrooms · 5 beds · 2 baths,9391933,Adriana,Ipanema,-22.98443,-43.20265,Entire home/apt,1726.5436160579536,5.0,8,2022-02-27,0.09,1,0,0
11336439,Rental unit in Rio de Janeiro · 4.93 · 1 bedroom · 3 beds · 1 bath,51132514,Vivian,Copacabana,-22.96719,-43.18003,Entire home/apt,1311.7262280953748,6.0,14,2020-02-28,0.16,1,0,0
11357422,Home in Rio de Janeiro · 5.0 · 1 bedroom · 3 beds · 1 bath,53334586,Ciçah,Recreio dos Bandeirantes,-23.01546,-43.4693,Private room,962.8882455124493,2.0,3,2016-08-15,0.03,2,0,0
11040423,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 bath,57293703,Dilma,Recreio dos Bandeirantes,-23.02638,-43.46375,Entire home/apt,962.8882455124493,1.0,4,2023-07-26,0.04,1,0,1
11408305,Condo in Rio de Janeiro · 4.69 · 2 bedrooms · 2 beds · 2 baths,59890677,Maria De Lourdes,Barra da Tijuca,-23.00712,-43.32434,Entire home/apt,1350.8451882845188,3.0,16,2022-09-05,0.2,2,0,0
11413055,Rental unit in Rio de Janeiro · 5.0 · 2 bedrooms · 2 beds · 2 baths,6859077,Sergio,Barra da Tijuca,-22.97345,-43.38746,Entire home/apt,1350.8451882845188,3.0,3,2022-01-02,0.03,1,0,0
11266700,Rental unit in Rio de Janeiro · 4.87 · 1 bedroom · 2 beds · 1 bath,58820108,Nedson,Copacabana,-22.96436,-43.17965,Entire home/apt,1311.7262280953748,3.0,53,2023-11-19,0.56,1,0,2
